order_id,order_date,ship_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,country,discount,profit,quantity,sales,profit_margin
US-2020-103800,03/01/2019,07/01/2019,Darren Powers,Message Book,"Message Book, Wirebound,  Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,United States,0.20,5.55,2,"16,448.00","3,375.00"
US-2020-112326,04/01/2019,08/01/2019,Phillina Ober,GBC,GBC Standard Plastic Binding Systems Combs,Home Office,Office Supplies,Binders,Central,60540,Naperville,Illinois,United States,0.80,"-5,487.00",2,3.54,-1.55
US-2020-112326,04/01/2019,08/01/2019,Phillina Ober,Avery,Avery 508,Home Office,Office Supplies,Labels,Central,60540,Naperville,Illinois,United States,0.20,4.27,3,"11,784.00","3,625.00"
US-2020-112326,04/01/2019,08/01/2019,Phillina Ober,SAFCO,SAFCO Boltless Steel Shelving,Home Office,Office Supplies,Storage,Central,60540,Naperville,Illinois,United States,0.20,"-647,748.00",3,"272,736.00","-2,375.00"
US-2020-141817,05/01/2019,12/01/2019,Mick Brown,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,Office Supplies,Art,East,19143,Philadelphia,Pennsylvania,United States,0.20,"4,884.00",3,"19,536.00",0.25
US-2020-106054,06/01/2019,07/01/2019,Jack O'Briant,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,South,30605,Athens,Georgia,United States,0.00,5.24,3,12.78,0.41
US-2020-130813,06/01/2019,08/01/2019,Lycoris Saunders,Xerox,Xerox 225,Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,United States,0.00,9.33,3,19.44,0.48
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Global,Global Deluxe High-Back Manager's Chair,Home Office,Furniture,Chairs,South,42420,Henderson,Kentucky,United States,0.00,"7,464,078.00",9,"2,573.82",0.29
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Rogers,Rogers Handheld Barrel Pencil Sharpener,Home Office,Office Supplies,Art,South,42420,Henderson,Kentucky,United States,0.00,1.48,2,5.48,0.27
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Ibico,Ibico Hi-Tech Manual Binding System,Home Office,Office Supplies,Binders,South,42420,Henderson,Kentucky,United States,0.00,"274,491.00",2,609.98,0.45
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Alliance,"Alliance Super-Size Bands, Assorted Sizes",Home Office,Office Supplies,Fasteners,South,42420,Henderson,Kentucky,United States,0.00,"3,112.00",4,"46,022.00",0.01
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,Office Supplies,Paper,South,42420,Henderson,Kentucky,United States,0.00,3.20,1,6.54,0.46
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,Other,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.00,"2,041,092.00",4,755.96,0.27
US-2020-167199,06/01/2019,10/01/2019,Maria Etezadi,GE,GE 30524EE4,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.00,"1,136,742.00",2,391.98,0.29
US-2020-105417,07/01/2019,12/01/2019,Vivek Sundaresam,Howard Miller,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Consumer,Furniture,Furnishings,Central,77340,Huntsville,Texas,United States,0.60,"-537,096.00",3,"76,728.00",-0.70
US-2020-105417,07/01/2019,12/01/2019,Vivek Sundaresam,Acco,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Consumer,Office Supplies,Binders,Central,77340,Huntsville,Texas,United States,0.80,"-182,525.00",7,10.43,-1.75
